Experiment,Nodes,Algorithm,Seed,Throughput,PDR,CollisionRate
Scalability,10,BEB,42,0.39,0.07772020725388601,0.219
Scalability,10,BEB,43,0.408,0.08163265306122448,0.211
Scalability,10,BEB,44,0.414,0.08296593186372746,0.232
Scalability,10,BEB,45,0.391,0.07807507987220447,0.206
Scalability,10,BEB,46,0.394,0.07783484788621098,0.218
Scalability,10,BEB,47,0.396,0.08045509955302722,0.198
Scalability,10,BEB,48,0.41,0.08321493809620459,0.2
Scalability,10,BEB,49,0.387,0.0779142339440306,0.218
Scalability,10,BEB,50,0.406,0.08110267678785457,0.235
Scalability,10,BEB,51,0.396,0.08011329152336638,0.206
Scalability,10,RL,42,0.154,0.030861723446893786,0.009
Scalability,10,RL,43,0.193,0.03869286287089014,0.02
Scalability,10,RL,44,0.159,0.03220579299169536,0.014
Scalability,10,RL,45,0.148,0.02988088027458106,0.011
Scalability,10,RL,46,0.142,0.028007889546351084,0.009
Scalability,10,RL,47,0.194,0.039398862713241264,0.018
Scalability,10,RL,48,0.137,0.02788520252391614,0.01
Scalability,10,RL,49,0.148,0.029874848607186113,0.006
Scalability,10,RL,50,0.192,0.038523274478330656,0.019
Scalability,10,RL,51,0.051,0.010220440881763528,0.003
Scalability,50,BEB,42,0.352,0.01401831939466348,0.402
Scalability,50,BEB,43,0.355,0.014227316447579352,0.376
Scalability,50,BEB,44,0.363,0.014682090276654264,0.381
Scalability,50,BEB,45,0.357,0.014395741763780797,0.379
Scalability,50,BEB,46,0.362,0.0145008812690274,0.408
Scalability,50,BEB,47,0.36,0.0145342969033873,0.384
Scalability,50,BEB,48,0.362,0.014592067075137053,0.416
Scalability,50,BEB,49,0.366,0.01464527229802729,0.391
Scalability,50,BEB,50,0.339,0.013599711156577205,0.391
Scalability,50,BEB,51,0.355,0.014192052450627648,0.413
Scalability,50,RL,42,0.321,0.012881736827320519,0.105
Scalability,50,RL,43,0.324,0.012989095574085953,0.108
Scalability,50,RL,44,0.298,0.012004511762810184,0.112
Scalability,50,RL,45,0.286,0.01149009682214455,0.108
Scalability,50,RL,46,0.323,0.012881869665789263,0.122
Scalability,50,RL,47,0.323,0.012911736488647265,0.11
Scalability,50,RL,48,0.304,0.012138151327610302,0.089
Scalability,50,RL,49,0.29,0.01157453602075434,0.097
Scalability,50,RL,50,0.318,0.012693090647826607,0.095
Scalability,50,RL,51,0.329,0.013156316231455193,0.135
Scalability,100,BEB,42,0.302,0.006045925006506376,0.485
Scalability,100,BEB,43,0.304,0.006074654304212293,0.511
Scalability,100,BEB,44,0.331,0.006615765909817717,0.491
Scalability,100,BEB,45,0.309,0.006204196365826724,0.471
Scalability,100,BEB,46,0.314,0.006265214094736422,0.484
Scalability,100,BEB,47,0.298,0.0059750571440028875,0.467
Scalability,100,BEB,48,0.324,0.00646964856230032,0.451
Scalability,100,BEB,49,0.326,0.006515829868883914,0.492
Scalability,100,BEB,50,0.327,0.00652056870525833,0.469
Scalability,100,BEB,51,0.305,0.006123514294892387,0.482
Scalability,100,RL,42,0.34,0.006784125147155656,0.228
Scalability,100,RL,43,0.391,0.007870687225733725,0.233
Scalability,100,RL,44,0.374,0.007493788570970586,0.241
Scalability,100,RL,45,0.369,0.007397309704709019,0.228
Scalability,100,RL,46,0.371,0.007404746222781071,0.231
Scalability,100,RL,47,0.369,0.007398792934052494,0.246
Scalability,100,RL,48,0.349,0.006973723648716156,0.223
Scalability,100,RL,49,0.351,0.007033504328310356,0.242
Scalability,100,RL,50,0.388,0.0077524026454075,0.25
Scalability,100,RL,51,0.386,0.007746337547662051,0.22
Scalability,200,BEB,42,0.268,0.0026784197323579087,0.598
Scalability,200,BEB,43,0.258,0.0025804128660585693,0.609
Scalability,200,BEB,44,0.268,0.0026844830867548807,0.584
Scalability,200,BEB,45,0.277,0.002764719385972792,0.588
Scalability,200,BEB,46,0.271,0.0027151860052700657,0.604
Scalability,200,BEB,47,0.261,0.002620771370332065,0.597
Scalability,200,BEB,48,0.258,0.002579587266037434,0.59
Scalability,200,BEB,49,0.274,0.002738001259080871,0.61
Scalability,200,BEB,50,0.258,0.0025797162312145663,0.613
Scalability,200,BEB,51,0.26,0.0026056803832354533,0.603
Scalability,200,RL,42,0.304,0.00303532559857819,0.502
Scalability,200,RL,43,0.312,0.0031181602854315955,0.464
Scalability,200,RL,44,0.314,0.0031443706752385817,0.459
Scalability,200,RL,45,0.3,0.0029944004711190074,0.497
Scalability,200,RL,46,0.322,0.0032190986523773345,0.468
Scalability,200,RL,47,0.291,0.0029118635926993278,0.519
Scalability,200,RL,48,0.318,0.0031826415925217933,0.482
Scalability,200,RL,49,0.304,0.003035931851319232,0.498
Scalability,200,RL,50,0.297,0.0029607919370756948,0.484
Scalability,200,RL,51,0.331,0.0033186617070554147,0.471
